Id,front_camera,resolution_width,mobile_weight,screen_width,talk_time,touch_screen,clock_speed,ram,bluetooth,battery_power,internal_memory,primary_camera,mobile_depth,dual_sim,resolution_height,wifi,4g,3g,n_cores,screen_height,price_range
255,0,547,159,0,15,yes,1.2,470,yes,1156,50,0,0.8,yes,322,no,yes,yes,2,7,very low
256,7,1617,95,4,2,no,2.9,2278,no,671,2,19,0.1,no,614,no,yes,yes,6,13,medium
257,1,1935,192,6,3,yes,3,273,no,1897,21,2,0.5,no,1311,yes,yes,yes,8,17,very low
258,8,710,174,6,13,yes,1.9,3400,no,513,27,13,0.4,no,282,yes,no,no,8,16,medium
259,13,1613,96,9,8,no,1.5,1142,no,1020,7,18,0.7,no,870,yes,yes,yes,3,13,low
260,14,1916,125,2,14,no,1,1491,no,962,2,20,0.9,yes,1618,no,no,yes,1,16,low
261,0,1756,146,1,17,no,1.6,3260,no,1240,39,9,0.1,no,1511,yes,no,no,2,13,high
262,0,540,90,5,19,yes,2.5,348,yes,1180,27,1,0.1,no,168,yes,yes,yes,6,7,very low
263,13,1439,169,1,18,no,2.5,2084,yes,1663,27,14,0.3,yes,831,no,yes,yes,4,7,medium
264,1,1605,142,5,8,yes,2.8,392,yes,558,49,4,0.8,no,997,yes,yes,yes,5,10,very low
265,9,940,84,9,20,yes,2.6,2373,no,1589,46,16,0.4,no,618,no,no,yes,3,11,medium
266,8,1702,107,1,20,yes,0.5,2977,no,582,32,11,0.7,no,1043,yes,no,no,3,6,medium
267,1,1703,179,9,9,no,2,950,no,568,36,4,0.3,no,181,no,no,yes,3,17,very low
268,4,1764,130,3,7,yes,0.8,2693,yes,1827,61,9,0.9,no,253,yes,no,no,7,8,high
269,0,1558,158,6,14,no,2.8,345,no,1744,62,0,0.7,no,621,no,yes,yes,1,10,very low
270,3,1654,164,1,10,no,0.5,1067,no,1859,22,7,0.7,yes,1004,no,no,yes,1,17,low
271,2,1434,105,8,7,no,0.6,2676,yes,1245,30,3,0.7,no,330,no,no,yes,5,17,medium
272,1,556,190,1,5,yes,1.5,2074,no,1344,14,3,0.5,no,419,no,no,yes,1,8,low
273,2,1752,180,6,11,yes,0.9,3484,yes,1510,45,3,0.9,yes,708,yes,no,no,5,9,high
274,6,1291,135,5,17,no,1.3,1561,yes,1584,41,15,0.6,no,160,yes,no,no,4,10,low
275,3,614,82,2,4,no,2,2847,yes,1811,22,8,0.2,no,358,yes,yes,yes,2,9,medium
276,1,967,86,4,3,yes,2,1326,no,539,24,2,0.5,yes,958,no,no,yes,4,7,very low
277,2,755,167,5,8,no,1.7,263,yes,1171,19,19,0.3,yes,248,no,no,no,7,6,very low
278,5,1698,169,2,4,no,1.6,1998,no,1219,4,7,0.3,yes,1419,no,no,no,6,9,medium
279,11,724,101,2,17,yes,2.3,2177,no,1082,2,20,1,yes,398,no,no,no,4,12,low
280,3,1615,187,4,17,no,0.6,1998,no,826,62,19,0.7,no,778,no,no,no,4,17,low
281,8,1018,199,0,2,no,2.6,1300,no,1454,6,20,0.4,no,698,yes,no,no,3,10,low
282,5,1786,84,0,12,no,1.3,3675,yes,970,59,19,0.2,yes,1765,no,no,no,7,12,high
283,5,1427,193,11,16,yes,1.6,3624,no,1456,49,20,0.2,yes,1285,no,no,yes,3,12,high
284,6,1393,124,8,18,yes,2.8,343,no,1902,50,9,0.8,yes,1142,no,no,no,8,11,very low
285,7,1747,85,1,15,yes,2.6,297,no,1486,52,15,0.1,no,1430,no,no,no,4,13,very low
286,3,974,183,16,11,no,1.4,3704,no,517,33,8,0.8,yes,660,yes,yes,yes,4,17,high
287,12,761,131,4,15,yes,1.2,1656,no,1232,30,14,0.9,no,625,yes,no,yes,6,8,low
288,3,1924,154,8,20,no,1.4,3454,no,1606,57,4,0.1,no,1127,yes,no,no,4,13,high
289,0,1229,144,1,14,yes,2.1,542,no,1320,41,2,0.6,yes,123,no,yes,yes,7,11,very low
290,8,1127,118,1,9,no,2.7,2190,yes,1934,2,16,0.1,no,242,yes,yes,yes,4,18,medium
291,0,1176,187,8,8,yes,1.8,1389,no,983,53,4,0.9,no,1001,yes,yes,yes,1,17,low
292,0,1917,86,6,2,no,0.5,3278,no,825,23,0,0.1,yes,206,yes,yes,yes,2,8,high
293,18,1942,98,11,7,yes,2,955,no,1348,52,20,0.3,no,1869,yes,no,yes,3,18,low
294,0,646,186,3,7,no,2.9,3396,yes,599,64,1,0.3,no,103,no,yes,yes,8,5,medium
295,2,1663,113,4,15,yes,0.7,3119,no,1231,7,7,0.9,yes,43,no,no,yes,1,9,high
296,10,925,91,0,14,no,0.5,1590,no,1368,42,20,0.2,no,907,no,yes,yes,1,12,low
297,0,887,101,0,12,yes,2.2,2290,yes,1414,49,1,0.5,yes,130,no,yes,yes,4,13,low
298,17,1942,110,2,17,no,2.8,1260,no,1569,44,20,0.3,yes,45,no,no,yes,4,9,low
299,12,1065,113,7,7,no,2.7,1472,yes,703,30,20,0.3,no,218,no,yes,yes,1,14,very low
300,13,828,115,0,10,yes,0.5,3717,yes,1701,46,15,0.9,no,364,no,yes,yes,2,11,high
301,3,538,138,3,15,no,1.4,1037,yes,1514,12,4,0.6,no,306,yes,yes,yes,3,15,very low
302,2,939,191,10,12,yes,1.7,916,yes,1604,33,5,1,no,134,yes,no,no,8,13,very low
303,0,582,86,5,19,no,2,2668,no,1063,27,7,0.2,no,201,no,no,no,6,12,medium
304,0,1235,91,5,10,yes,1,711,no,903,50,0,0.4,yes,1230,no,yes,yes,1,9,very low
305,6,1234,146,12,3,no,1.7,3968,no,1748,14,7,0.5,yes,859,yes,yes,yes,3,16,high
306,6,1559,162,1,3,yes,1.6,3352,yes,1559,6,17,0.5,yes,179,yes,yes,yes,6,9,high
307,14,980,183,1,8,yes,2.5,3755,yes,1718,6,16,0.1,yes,564,yes,yes,yes,5,7,high
308,3,739,185,5,19,yes,1.8,2114,no,1898,56,4,0.2,yes,444,yes,yes,yes,7,10,medium
309,2,711,88,8,6,yes,0.8,454,yes,1994,7,4,0.6,yes,667,no,yes,yes,8,11,very low
310,7,645,132,1,4,no,1.6,3763,yes,519,51,19,0.3,yes,550,yes,yes,yes,4,16,high
311,13,1773,157,4,2,no,1.1,3130,no,1825,17,18,0.1,yes,1621,yes,yes,yes,4,12,high
312,1,909,88,2,13,yes,0.5,3424,yes,917,31,2,0.5,no,423,no,yes,yes,6,19,high
313,5,1206,170,0,8,yes,1.8,1068,no,1407,16,6,0.2,yes,925,no,yes,yes,4,6,low
314,2,1813,169,6,8,yes,2.4,1028,no,1191,13,7,0.9,yes,179,yes,no,yes,1,14,very low
315,16,1171,90,7,10,yes,2.8,3269,no,574,38,17,0.1,yes,286,no,no,no,6,8,medium
316,14,1330,114,0,20,no,3,3024,yes,1670,62,20,0.5,no,1117,yes,no,no,8,6,high
317,0,1397,112,5,19,yes,0.6,3430,no,1589,5,2,0.8,no,776,yes,no,yes,5,7,high
318,2,1463,123,9,20,yes,0.5,1591,no,834,27,16,0.2,no,1421,no,yes,yes,1,11,low
319,6,1709,137,11,15,yes,1.5,3948,no,539,26,8,0.2,no,1123,yes,yes,yes,6,18,high
320,13,1079,131,11,2,no,2.5,3454,yes,1077,49,14,0.6,no,334,yes,yes,yes,4,17,high
321,3,603,94,12,4,no,2.9,1930,no,614,24,7,0.2,yes,409,yes,yes,yes,4,13,low
322,0,519,181,12,12,no,1.4,509,no,1097,60,17,0.8,no,405,no,no,yes,1,15,very low
323,3,906,111,0,7,yes,1.7,511,no,1633,33,19,0.9,yes,146,no,yes,yes,2,9,very low
324,5,1744,80,0,19,yes,2.3,2086,yes,1023,30,7,0.2,yes,5,yes,yes,yes,8,10,low
325,7,1958,163,8,11,yes,2,3872,yes,1911,64,8,0.6,no,1795,no,yes,yes,8,9,high
326,9,891,186,3,6,no,1.4,1637,yes,946,26,10,0.1,no,273,yes,no,yes,6,7,very low
327,1,1531,130,14,3,no,2.4,3568,no,709,11,11,0.1,yes,119,yes,no,no,5,16,high
328,0,1232,101,16,5,no,1.1,3809,yes,1063,26,2,0.8,no,1208,yes,yes,yes,5,17,high
329,0,1196,124,9,3,yes,1.9,1050,yes,793,43,2,0.3,yes,15,yes,yes,yes,8,11,very low
330,7,1111,146,15,17,no,2.6,1295,no,1002,27,10,0.1,yes,115,yes,no,yes,1,18,very low
331,13,1463,187,2,18,no,1.6,1870,yes,860,48,18,0.5,yes,335,no,no,yes,7,17,low
332,9,1910,124,8,6,yes,0.7,550,no,1068,51,15,0.5,yes,1405,no,no,yes,4,12,very low
333,0,1670,187,2,16,yes,3,3121,yes,864,54,1,0.7,yes,127,yes,yes,yes,2,18,medium
334,3,1864,159,15,11,yes,1,568,no,775,46,16,0.7,no,862,yes,no,yes,2,17,very low
335,2,748,159,0,2,no,2.8,1482,no,1815,33,17,0.6,no,607,no,no,yes,4,18,low
336,2,1247,166,7,16,no,1.5,418,no,1058,19,14,0.4,no,493,yes,no,no,4,9,very low
337,15,1264,136,3,4,no,0.9,2378,no,511,24,18,0.6,yes,367,no,yes,yes,3,18,low
338,5,643,96,7,14,yes,2.4,2965,no,798,4,9,0.2,no,526,no,no,yes,3,15,medium
339,0,533,197,0,12,no,1.9,3249,no,869,2,3,0.6,no,519,yes,no,no,7,19,medium
340,8,670,200,4,16,no,2.9,3483,no,1578,3,20,0.9,no,342,no,no,yes,1,17,high
341,1,1652,110,3,12,yes,2.8,504,yes,1195,20,14,0.8,no,1580,no,yes,yes,2,9,very low
342,3,771,107,4,10,yes,2.6,1945,yes,1084,40,11,0.9,no,322,no,yes,yes,3,15,low
343,0,941,109,6,16,yes,1.3,1464,yes,1321,63,9,0.4,no,817,yes,yes,yes,8,7,low
344,0,1167,144,5,6,no,2.2,2216,no,797,37,2,0.9,yes,206,no,no,yes,7,9,low
345,5,1106,132,1,3,yes,2.8,3672,no,1889,31,10,1,no,170,yes,yes,yes,1,5,high
346,0,866,104,3,15,yes,1,1404,no,1162,50,10,0.5,no,332,yes,no,yes,4,10,low
347,0,1099,122,11,5,yes,0.5,3962,yes,1467,18,0,0.6,no,888,yes,no,yes,5,15,high
348,0,947,105,1,10,yes,0.5,2036,yes,1449,52,0,0.6,yes,211,no,no,no,6,5,low
349,3,930,147,1,15,no,0.5,3538,no,1569,33,13,0.2,yes,519,yes,no,yes,1,18,high
350,3,1883,144,0,8,yes,0.8,1032,no,1449,10,12,0.2,yes,1518,yes,yes,yes,1,10,low
351,1,1033,83,5,5,yes,0.5,3419,yes,1454,34,3,0.7,yes,250,no,no,yes,4,7,high
352,4,1084,198,6,6,no,0.6,3592,no,1652,40,6,1,yes,352,no,yes,yes,7,7,high
353,7,1931,177,6,10,no,1,1430,no,1702,36,9,0.1,no,1240,no,no,no,5,8,medium
354,0,1083,138,14,16,no,2.8,1258,yes,1996,7,4,0.1,yes,937,no,yes,yes,5,17,low
355,5,1285,125,7,14,no,3,3265,yes,511,34,13,0.9,yes,149,no,yes,yes,8,14,medium
356,8,1532,91,3,13,yes,1.4,587,no,942,27,9,0.5,yes,754,yes,no,no,4,6,very low
357,2,1716,145,2,9,yes,0.5,2603,yes,563,41,6,0.9,yes,1263,no,yes,yes,5,11,medium
358,5,760,102,0,3,no,1.6,1846,no,904,14,9,0.2,yes,56,yes,yes,yes,8,7,low
359,0,1723,107,3,20,yes,0.5,3573,no,912,58,1,0.3,yes,165,no,no,yes,5,17,high
360,14,1389,139,15,5,yes,0.5,3153,yes,1872,49,18,0.2,yes,81,no,no,yes,7,16,high
361,1,815,160,7,2,no,2.3,2113,yes,589,61,10,0.6,yes,429,yes,no,yes,4,13,low
362,14,676,113,1,18,no,2.6,3685,yes,1617,29,20,0.9,no,283,no,no,no,6,13,high
363,4,1722,83,4,8,yes,1.2,1073,yes,1170,30,15,0.4,no,27,no,no,yes,8,6,very low
364,0,875,197,12,12,yes,0.5,1209,no,1068,19,9,0.9,yes,322,no,yes,yes,8,19,very low
365,0,1499,194,7,9,no,2.7,1754,no,1068,45,1,0.6,yes,935,yes,yes,yes,5,17,low
366,3,1010,120,3,3,no,0.5,1152,yes,1183,48,12,0.1,yes,268,no,yes,yes,8,8,very low
367,1,1420,171,0,6,yes,0.5,1646,no,1093,31,12,0.6,no,1310,no,yes,yes,2,12,low
368,1,1309,106,0,2,no,0.5,3102,no,812,64,7,1,yes,35,no,no,no,4,6,medium
369,2,656,172,11,20,yes,0.8,3940,no,1732,61,3,0.3,no,201,yes,no,no,5,17,high
370,10,1441,80,3,3,yes,0.5,867,yes,1339,21,11,0.5,yes,833,no,yes,yes,4,8,very low
371,1,1923,182,5,10,yes,2.3,3059,no,1504,64,2,0.9,yes,19,no,no,no,1,6,high
372,6,1309,86,10,12,yes,0.5,2001,no,712,27,11,0.5,no,1245,yes,no,yes,2,11,low
373,5,1325,145,3,8,yes,2.7,1733,yes,1991,64,13,0.9,no,1058,no,yes,yes,2,5,medium
374,2,1678,158,9,10,no,2,2014,no,991,12,6,0.3,no,1209,no,yes,yes,5,11,medium
375,0,1673,148,6,8,no,1.2,2498,no,1583,14,4,0.2,yes,1171,yes,no,no,2,13,medium
376,1,1452,101,6,19,no,2.1,3019,yes,1754,52,3,1,yes,199,yes,yes,yes,4,11,high
377,7,1654,114,0,19,no,1.3,2382,yes,644,30,16,0.5,yes,1140,yes,yes,yes,1,9,medium
378,12,822,148,3,11,no,2.5,2506,yes,1588,4,20,0.3,no,146,no,yes,yes,5,5,medium
379,10,1903,189,1,19,yes,1.1,2958,no,531,63,14,0.7,no,145,no,no,no,7,17,medium
380,0,1791,156,13,17,yes,0.8,3833,yes,1312,24,0,0.9,yes,115,no,no,no,6,14,high
381,0,1398,100,10,13,yes,1.4,666,no,1571,19,1,0.1,no,713,no,yes,yes,6,12,very low
382,5,539,117,12,10,yes,2.4,3971,yes,1523,57,6,0.2,no,247,yes,yes,yes,2,18,high
383,1,1744,130,11,7,yes,2.8,985,no,1472,36,10,0.5,yes,1452,no,no,yes,6,12,low
384,12,1056,187,12,16,yes,1.1,2487,no,1501,2,15,0.2,no,198,yes,yes,yes,1,13,medium
385,2,1254,155,1,18,yes,0.5,1974,yes,955,2,10,0.6,no,428,no,no,yes,4,14,low
386,1,874,174,7,3,yes,1.6,1205,yes,1561,27,10,0.8,yes,662,no,yes,yes,3,12,low
387,5,902,89,14,9,no,2.8,3255,no,1659,16,20,0.6,no,819,yes,no,no,1,19,high
388,6,1238,197,1,16,no,0.8,1769,yes,623,26,12,0.3,no,484,no,yes,yes,7,10,low
389,0,766,144,6,19,yes,1.3,2039,no,817,11,11,0.5,no,722,no,no,no,3,11,low
390,14,1020,167,5,6,yes,1.5,3314,yes,1250,20,18,0.4,no,11,yes,yes,yes,5,6,medium
391,9,1496,145,1,17,no,0.5,1433,no,1974,10,12,0.8,yes,530,no,no,no,6,6,low
392,6,1898,200,13,15,yes,0.5,446,no,1695,46,9,0.7,yes,1791,yes,yes,yes,3,16,low
393,7,599,89,8,17,yes,0.5,3476,yes,1986,39,19,0.1,yes,251,no,yes,yes,7,11,high
394,18,1726,196,5,4,yes,2.1,704,no,591,16,20,0.5,yes,952,yes,yes,yes,7,14,very low
395,2,518,114,3,2,yes,0.5,1075,no,796,12,8,0.5,no,174,no,no,no,1,7,very low
396,0,770,200,1,2,no,0.5,3437,yes,1606,33,0,0.9,yes,157,no,yes,yes,5,11,high
397,1,952,131,5,7,no,0.5,3002,yes,1512,52,14,0.1,no,333,yes,no,no,1,6,medium
398,0,831,157,8,5,no,0.7,1161,no,1540,29,1,0.1,yes,318,no,yes,yes,7,11,very low
399,0,891,182,4,17,yes,0.5,1276,yes,1805,29,2,0.2,no,758,no,no,no,4,19,low
400,0,1532,176,2,2,yes,2.9,411,yes,1979,19,9,1,yes,1331,yes,yes,yes,3,8,very low
401,1,1913,173,15,13,no,2.7,2735,yes,1156,30,16,0.9,yes,945,yes,yes,yes,3,16,medium
402,1,1334,126,3,19,no,3,1167,yes,574,30,3,0.9,no,94,no,yes,yes,2,5,very low
403,0,1915,102,14,11,yes,1.4,1401,yes,633,46,10,0.7,no,709,no,yes,yes,6,19,low
404,2,807,196,5,4,yes,1.9,1869,no,1093,22,14,0.3,yes,238,yes,yes,yes,8,8,low
405,1,859,166,4,15,no,1.1,595,no,1160,63,2,0.7,no,762,yes,yes,yes,3,18,very low
406,1,661,136,3,9,no,2.4,755,yes,1318,45,7,0.1,no,183,yes,yes,yes,2,18,very low
407,6,793,161,7,2,no,0.8,256,yes,926,59,14,0.8,no,84,yes,yes,yes,7,18,very low
408,9,1134,170,12,5,yes,0.5,2977,yes,578,62,13,0.3,no,626,yes,yes,yes,5,15,medium
409,1,1781,102,13,3,no,0.9,3537,yes,623,3,7,0.1,no,1749,yes,yes,yes,8,16,high
410,8,1450,161,7,19,yes,2.4,814,no,577,37,20,0.9,no,1087,yes,yes,yes,6,11,very low
411,3,1208,84,12,4,yes,0.5,2190,yes,712,35,10,0.2,yes,558,yes,yes,yes,2,16,low
412,2,784,129,15,19,no,2.3,2132,yes,1433,5,11,0.1,no,420,yes,yes,yes,5,18,low
413,12,640,131,8,9,no,0.6,2253,no,1423,44,13,0.8,no,501,no,no,no,5,10,low
414,11,1392,91,6,19,yes,0.5,570,yes,686,3,15,0.3,no,1109,no,no,no,6,7,very low
415,4,1226,200,2,12,no,2.3,403,yes,541,51,17,0.4,no,1012,no,no,no,8,11,very low
416,3,1193,140,10,13,yes,0.5,531,yes,1249,55,8,0.8,no,605,yes,yes,yes,3,18,very low
417,7,1554,188,3,15,yes,2.3,3681,yes,732,39,11,0.6,yes,1163,yes,yes,yes,7,19,high
418,2,566,181,1,8,yes,1.1,1206,yes,977,57,7,0.6,yes,63,yes,no,no,6,7,very low
419,4,788,114,7,20,no,2.8,1037,yes,1602,38,20,0.7,yes,466,no,yes,yes,3,8,very low
420,4,548,101,1,12,no,2.1,918,no,601,26,18,0.3,no,509,no,no,no,4,9,very low
421,12,1964,193,0,4,yes,1.9,3183,yes,622,11,14,0.8,yes,760,yes,no,yes,8,5,medium
422,1,594,178,11,9,yes,1.5,1886,no,741,14,13,0.3,no,334,yes,no,yes,5,19,very low
423,6,1963,139,12,18,yes,1.9,1203,yes,1995,9,18,0.8,no,1830,yes,no,yes,6,14,medium
424,0,681,112,3,5,yes,0.5,503,no,1207,58,0,0.3,no,406,no,no,yes,8,7,very low
425,1,1555,185,3,18,yes,2.5,1719,yes,775,10,14,0.1,yes,444,yes,yes,yes,7,19,low
426,2,1683,198,1,20,no,2.6,3407,no,888,33,17,0.4,yes,327,no,yes,yes,2,12,high
427,15,1882,153,1,17,no,0.5,3564,no,1922,42,16,0.6,no,725,no,yes,yes,8,12,high
428,8,794,141,7,18,no,0.5,3684,no,1896,7,13,0.4,yes,447,no,yes,yes,2,9,high
429,4,977,153,0,3,no,0.9,3696,yes,1497,10,20,0.1,yes,98,yes,yes,yes,8,9,high
430,4,1289,144,10,16,yes,1,2016,yes,930,4,10,0.9,yes,1017,yes,yes,yes,8,13,low
431,0,992,195,0,14,yes,2.6,1470,yes,916,36,12,0.3,no,188,no,no,no,4,13,very low
432,5,1431,198,4,20,yes,0.5,1666,yes,832,22,8,0.6,no,343,yes,yes,yes,1,15,low
433,16,1361,111,4,7,no,2.5,2746,yes,587,51,17,0.6,no,244,yes,yes,yes,1,10,medium
434,3,1967,198,6,14,no,1.9,735,yes,1851,12,11,0.9,yes,293,yes,yes,yes,6,7,very low
435,10,1036,104,7,13,no,2.1,2552,no,1936,46,20,0.6,yes,667,no,yes,yes,3,14,medium
436,0,1926,134,0,17,no,0.5,1324,no,1753,31,18,0.1,yes,1590,yes,yes,yes,1,17,medium
437,7,575,128,3,13,no,2.6,3278,yes,1315,64,16,0.8,no,59,no,no,no,7,6,medium
438,3,710,89,16,16,no,0.5,2623,no,557,17,4,0.2,yes,322,no,no,no,6,17,low
439,5,1857,197,12,19,yes,2.1,1164,yes,714,11,6,0.1,yes,1750,no,yes,yes,3,15,low
440,0,1199,189,12,20,no,0.5,3926,no,534,16,1,1,yes,393,no,yes,yes,5,16,high
441,16,1300,168,1,6,yes,2.1,3377,no,894,16,20,0.7,yes,286,yes,no,yes,8,5,medium
442,2,1378,128,2,13,yes,0.8,2583,no,835,42,18,0.8,yes,396,yes,yes,yes,5,15,medium
443,0,1022,141,5,20,yes,0.5,2321,no,1788,6,16,0.2,no,149,no,yes,yes,6,7,medium
444,0,1963,111,17,16,yes,1.6,1622,yes,1230,48,2,0.7,no,1960,yes,yes,yes,7,18,medium
445,2,1539,163,11,2,no,2.8,2378,yes,504,54,10,0.4,yes,1207,no,no,yes,2,17,medium
446,3,536,134,0,10,yes,2.1,278,no,1678,64,11,0.9,no,436,no,yes,yes,3,19,very low
447,4,1924,128,7,13,no,0.7,1302,no,527,53,11,0.9,yes,67,no,no,no,1,13,very low
448,1,1836,117,9,10,yes,2.8,3654,no,1001,40,7,0.2,yes,922,yes,no,yes,3,13,high
449,15,1353,168,2,5,yes,2,2148,no,1720,55,18,0.5,no,753,yes,yes,yes,2,14,medium
450,7,533,178,7,8,no,1.3,3915,no,1848,12,19,0.1,yes,195,yes,no,no,2,9,high
451,1,969,104,2,18,no,1.4,3396,yes,875,43,3,0.6,yes,902,no,yes,yes,8,14,high
452,0,1068,104,6,7,yes,1.1,2469,no,1836,14,1,0.7,yes,168,yes,no,yes,5,18,medium
453,8,1476,156,12,6,no,0.5,3323,no,1479,19,10,0.6,no,180,yes,no,yes,3,13,high
454,0,1804,185,2,15,no,0.7,690,yes,665,31,2,0.1,no,496,no,yes,yes,5,5,very low
455,0,1374,199,2,7,yes,0.5,1567,no,1967,46,7,0.6,no,518,no,yes,yes,1,15,low
456,16,654,150,1,6,yes,0.5,508,yes,1568,33,20,1,no,413,yes,no,yes,8,5,very low
457,5,1055,191,4,8,yes,0.5,619,no,1959,18,20,0.7,yes,65,yes,no,yes,6,7,very low
458,14,1370,83,6,7,yes,2.1,651,yes,1379,63,17,1,yes,207,no,yes,yes,1,9,very low
459,0,1554,150,9,7,no,1.7,2126,yes,748,27,4,0.9,no,450,no,yes,yes,8,18,low
460,0,888,123,3,19,no,0.9,1486,yes,1507,42,0,0.4,yes,682,no,yes,yes,5,15,low
461,1,1007,180,13,18,yes,1.8,1234,yes,1002,45,7,0.7,no,948,no,no,yes,7,19,very low
462,11,1168,117,3,15,yes,0.5,3927,yes,1464,12,14,0.9,yes,854,yes,no,no,2,5,high
463,0,874,100,8,10,yes,2.2,1552,no,1777,15,7,0.2,yes,553,no,no,yes,4,10,low
464,0,1642,152,2,3,yes,1.9,2447,no,1185,31,7,0.4,no,837,yes,no,yes,8,16,medium
465,8,1356,196,9,18,yes,1.2,2311,yes,1998,31,19,0.6,no,50,no,no,yes,8,17,medium
466,3,676,87,4,3,yes,0.5,2775,yes,1983,43,10,1,yes,349,yes,no,no,6,9,medium
467,1,758,176,13,2,yes,2.1,1851,no,1483,54,2,0.2,no,531,no,yes,yes,7,15,low
468,1,1118,178,3,4,no,2.9,3210,yes,1083,64,11,0.8,yes,1025,no,yes,yes,3,13,high
469,0,1657,121,12,20,no,0.5,2331,yes,531,12,3,0.5,yes,158,yes,yes,yes,4,18,low
470,0,1247,157,2,10,yes,0.5,920,yes,771,33,17,0.1,yes,776,yes,yes,yes,3,16,very low
471,0,1119,190,0,20,yes,0.5,3302,no,1112,12,6,0.9,no,777,yes,yes,yes,4,11,high
472,4,1896,199,15,2,yes,0.8,3966,no,1285,11,7,0.8,yes,1791,yes,yes,yes,5,17,high
473,8,1709,173,8,5,yes,1.9,2002,yes,1035,11,10,1,yes,831,no,no,yes,6,17,low
474,4,700,136,1,10,yes,2.9,361,no,1948,5,13,0.2,yes,651,no,no,no,1,6,very low
475,1,1796,123,9,15,no,0.7,1542,no,1158,29,20,0.7,yes,311,yes,yes,yes,2,17,low
476,15,1230,193,8,5,no,1.8,3676,yes,694,36,20,0.4,yes,983,yes,no,yes,4,12,high
477,13,513,194,4,5,yes,1.1,3182,yes,1310,7,14,1,yes,117,no,no,yes,5,8,medium
478,0,1393,82,10,11,yes,0.5,1659,yes,916,47,1,0.2,no,1147,no,yes,yes,4,11,low
479,3,1543,199,12,20,no,1.4,1457,no,1133,42,12,0.1,no,730,yes,no,yes,5,18,low
480,0,1383,107,2,11,yes,0.5,720,yes,1799,49,2,0.4,no,632,yes,no,yes,4,12,very low
481,6,675,81,5,11,yes,0.5,957,no,841,11,14,0.3,no,125,no,yes,yes,5,6,very low
482,10,1116,154,3,11,yes,2.7,2078,no,1527,60,14,0.1,no,526,yes,yes,yes,5,5,medium
483,5,1985,173,3,5,no,0.7,2622,no,683,19,17,0.9,no,954,yes,no,no,4,16,medium
484,5,967,132,2,11,no,2.9,2484,no,1347,44,14,0.6,no,434,yes,no,yes,1,18,medium
485,8,1008,108,3,14,no,0.9,3836,no,1347,53,15,0.8,yes,961,yes,yes,yes,6,15,high
486,6,1591,150,8,19,yes,0.9,2072,no,840,33,7,0.7,yes,1482,no,no,no,6,10,medium
487,0,1613,185,17,9,no,2.2,2819,no,581,59,6,0.7,no,803,yes,no,no,5,19,medium
488,7,974,185,4,11,yes,1.9,1471,no,808,20,14,0.8,no,496,no,no,no,6,13,very low
489,9,1666,80,3,13,yes,1.6,3998,no,1456,39,10,0.1,yes,815,no,yes,yes,8,6,high
490,4,1020,128,9,10,yes,1.7,2844,no,1827,39,16,0.5,no,55,no,yes,yes,5,14,medium
491,2,558,99,6,14,yes,0.5,495,yes,1201,10,7,1,no,306,yes,no,yes,7,15,very low
492,3,1453,166,11,2,no,2.8,2958,yes,1686,38,4,0.1,yes,397,no,no,no,4,14,high
493,3,1996,176,7,19,no,2.1,1354,yes,1692,61,12,0.9,no,975,no,yes,yes,6,16,low
494,2,1289,194,10,7,no,0.8,2725,yes,637,28,6,0.6,yes,1080,no,no,no,4,15,medium
495,2,1911,128,14,14,no,2.2,3961,yes,1589,58,4,0.1,yes,957,yes,no,yes,4,16,high
496,5,682,198,10,9,yes,1.7,2308,yes,1329,23,6,0.6,no,380,no,yes,yes,8,11,low
497,6,935,81,11,16,yes,0.5,1083,no,951,15,17,0.6,no,854,no,yes,yes,2,16,very low
498,7,1849,83,14,15,yes,0.5,2610,yes,512,15,15,0.9,yes,249,yes,no,no,3,18,medium
499,8,1602,143,15,4,yes,0.6,2262,no,618,16,14,0.2,no,1105,no,no,no,1,16,medium
500,5,1205,81,7,11,yes,2.4,462,no,1343,14,10,0.9,yes,1063,yes,yes,yes,8,18,very low
501,6,912,115,0,14,no,2.6,3038,no,1786,14,15,1,no,616,no,no,yes,4,18,high
502,0,1206,85,10,6,yes,0.6,3464,yes,1589,58,7,0.9,yes,319,yes,yes,yes,7,19,high
503,0,1195,178,0,16,no,2.8,470,no,504,40,0,0.5,yes,626,no,no,yes,3,6,very low
504,6,1970,132,0,8,yes,1.7,1598,no,999,49,17,0.6,no,608,no,no,no,1,7,low
505,2,1687,105,1,12,no,1.3,2890,yes,1375,12,13,0.1,yes,898,no,no,no,1,17,high
506,5,741,145,1,12,yes,2,2554,yes,1348,36,6,0.3,yes,468,no,no,no,6,19,medium
507,12,1370,84,9,12,yes,1.4,2982,yes,1128,53,14,0.4,no,609,no,no,yes,5,14,high
508,2,1190,182,8,7,no,2,703,no,934,30,15,0.7,yes,521,yes,no,no,8,10,very low
509,0,1776,140,3,3,no,0.7,2096,yes,1562,55,1,0.1,no,1032,no,no,no,8,15,medium
510,1,1025,97,7,17,yes,1.3,2457,yes,930,14,10,0.4,yes,77,no,yes,yes,6,11,low
511,11,1071,118,4,7,no,2.1,2317,no,1441,3,17,0.1,yes,577,yes,yes,yes,8,16,medium
512,3,1762,129,9,11,yes,1.8,1282,yes,1528,55,6,0.8,yes,454,yes,yes,yes,5,11,low
